id,name,address,latitude,longitude,distance,selected
ola-platform:5000055757187,Laha And Sons Medical Shop,"Rampurhat,  Rampurhat - I,  Birbhum,  West Bengal,  731223,  India",,,1.66 km,False
ola-platform:5000049670301,Apollo Pharmacy Rampurhat Government Medical College & Hospital,"Nh14,  Rampurhat,  Rampurhat - I,  Birbhum,  West Bengal,  731223,  India",,,1.74 km,False
ola-platform:5000043053929,Mon Medical & Diagnostic Centre,"New Hospital,  Road,  Rampurhat,  West Bengal,  731223,  India",,,1.85 km,False
ola-platform:5000048217263,Golam Morttaja,"Joykrishnapur,  West Bengal,  731223,  India",,,1.85 km,False
ola-platform:5000041736242,Bhai Bhai Medical Hall,"Suti,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,0.29 km,False
ola-platform:5000047437659,F.S. Health Care,"Suti,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,0.31 km,False
ola-platform:5000068577139,Erfan Medical Hall,"Chhabghati,  Khidirpur,  West Bengal,  742201,  India",,,0.80 km,False
ola-platform:5000036767161,MS Banu Medical Store,"Suti,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,0.96 km,False
ola-platform:5000052826031,Kayadanga Medicine,"Kayadanga,  Mahendrapur,  Aurangabad,  Kayadanga,  West Bengal,  742201,  India",,,1.76 km,False
ola-platform:5000050986924,Saharuls Medicine Shop,"Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,2.72 km,False
ola-platform:5000058040304,Sweety Medical Hall,"Suti - II,  Murshidabad,  West Bengal,  742223,  India",,,2.73 km,False
ola-platform:5000057506539,Alam Medical Store,"Suti - II,  Murshidabad,  West Bengal,  742223,  India",,,2.75 km,False
ola-platform:5000039591758,Jibondip Pharmacy,"Suti,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,2.76 km,False
ola-platform:5000066848789,Sahara Medical Hall,"Suti,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,2.84 km,False
ola-platform:5000045786480,Sumon Medical,"Aurangabad,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,2.87 km,False
ola-platform:5000037380634,Bhai Bhai Medical Hall,"Aurangabad,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,3.12 km,False
ola-platform:5000037825551,Ratan Medical,"Aurangabad,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,3.13 km,False
ola-platform:5000039595001,Rajendra Medical Hall,"Aurangabad,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,3.17 km,False
ola-platform:5000038148829,Bidhan Pharmacy,"Aurangabad,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,3.18 km,False
ola-platform:5000064541094,Arihant Distributors,"Aurangabad,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,3.22 km,False
ola-platform:5000062563343,Arihant EnterPrises,"Aurangabad,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,3.22 km,False
ola-platform:5000067454152,Raj Medical Hall,"Aurangabad,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,3.26 km,False
ola-platform:5000051333344,Ma Medical,"Aurangabad,  Suti - II,  Murshidabad,  West Bengal,  742201,  India",,,3.91 km,False
ola-platform:5000057205116,Asha Medicine,"Aurangabad,  Suti - II,  Murshidabad,  West Bengal,  742224,  India",,,4.23 km,False
ola-platform:5000060027188,Friends Medical Hall,"Serpur,  West Bengal,  742224,  India",,,4.45 km,False
ola-platform:5000055943801,Gias Medical Store,"Samserganj,  Murshidabad,  West Bengal,  742224,  India",,,4.46 km,False
ola-platform:5000054452615,Lokenath Medicine,"Samserganj,  Murshidabad,  West Bengal,  742224,  India",,,4.67 km,False
ola-platform:5000038548512,Sneha Medical Hall,"Nimtita Road,  Hasimpur,  Durgapur,  West Bengal,  742224,  India",,,5.36 km,False
ola-platform:5000053441847,Hasan Pharmacy,"Dhulian,  Samserganj,  Murshidabad,  West Bengal,  742224,  India",,,7.08 km,False
ola-platform:5000068373537,Heera Medical Hall,"Jaykrishnapur,  West Bengal,  742224,  India",,,8.24 km,False
ola-platform:5000036719339,Rozy Pharmacy,"Dhulian,  Samserganj,  Murshidabad,  West Bengal,  742202,  India",,,8.88 km,False
ola-platform:5000065389832,Hassan Medical Agency,"Nimtala Main Rd,  Nimtita,  West Bengal,  742202,  India",,,9.04 km,False
ola-platform:5000056856141,Pmri Homeo Hall,"Vill- Antardwipa,  LandMark-Dhuliyan Pakur Road,  Dist,  Dhuliyan,  West Bengal,  742202,  India",,,5.82 km,False
ola-platform:5000042575852,Chandni Medical,"Antardipa,  Samserganj,  Murshidabad,  West Bengal,  742202,  India",,,6.10 km,False
ola-platform:5000055902782,Suhana Medical Stores,"Chanchki To Anjna,  Road,  Pirthinagar,  Jharkhand,  816107,  India",,,7.84 km,False
ola-platform:5000038940386,Das Pharmacy,"Kālindipur,  Nalhati,  Nalhati - I,  Birbhum,  West Bengal,  731243,  India",,,0.25 km,False
ola-platform:5000067406919,Bengal Enterprise,"Unnamed Road,  Nazrul Polly,  Nalhati,  West Bengal,  731243,  India",,,0.39 km,False
